College of Staten Island D (1976) (s),"Staten Island, New York",Dolphins,City Univ. of New York Athletic Conf.,,,College of Staten Island Dolphins,College of Staten Island
College of William and Mary R2 (1693) (s),"Williamsburg, Virginia",Tribe,Colonial Athletic Association,,,College of William and Mary  Tribe,College of William and Mary 
Colorado Mesa University D (1925) (s),"Grand Junction, Colorado",Mavericks & Lady Mavericks,Rocky Mountain Athletic Conf.,,,Colorado Mesa University Mavericks & Lady Mavericks,Colorado Mesa University
Colorado School of Mines R2 (1873) (s),"Golden, Colorado",Orediggers,Rocky Mountain Athletic Conf.,,,Colorado School of Mines  Orediggers,Colorado School of Mines 
Colorado State University R1 (1870) (s),"Fort Collins, Colorado",Rams,Mountain West Conference,,,Colorado State University  Rams,Colorado State University 
"Colorado State University, Pueblo D (1933) (s)","Pueblo, Colorado",Thunder- Wolves,Rocky Mountain Athletic Conf.,,,"Colorado State University, Pueblo Thunder- Wolves","Colorado State University, Pueblo"
Columbus State University D (1958) (s),"Columbus, Georgia",Cougars,Peach Belt Conference,,,Columbus State University Cougars,Columbus State University
Concord University G (1872) (s),"Athens, West Virginia",Mountain Lions & Lady Lions,Mountain East Conference,,,Concord University Mountain Lions & Lady Lions,Concord University
Coppin State University G (1900) (s),"Baltimore, Maryland",Eagles,Mid-Eastern Athletic Conf.,,,Coppin State University Eagles,Coppin State University
Dakota State University D (1881) (s),"Madison, South Dakota",Trojans,North Star Athletic Assoc.,,,Dakota State University Trojans,Dakota State University
Dalton State College B (1963) (s),"Dalton, Georgia",Roadrunners,Southern States Athletic Conf.,,,Dalton State College Roadrunners,Dalton State College
Daytona State College B (1957) (s),"Daytona Beach, Florida",Falcons,Mid-Florida Conference,,,Daytona State College Falcons,Daytona State College
Delaware State University D (1891) (s),"Dover, Delaware",Hornets,Mid-Eastern Athletic Conf.,,,Delaware State University Hornets,Delaware State University
Delta State University B (1924) (s),"Cleveland, Mississippi",Statesmen & Lady Statesmen,Gulf South Conference,,,Delta State University Statesmen & Lady Statesmen,Delta State University
Dickinson State University B (1918) (s),"Dickinson, North Dakota",Blue Hawks,North Star Athletic Assoc.,,,Dickinson State University Blue Hawks,Dickinson State University
Dixie State University B (1911) (s),"St. George, Utah",Red Storm,Pacific West Conference,,,Dixie State University Red Storm,Dixie State University
East Carolina University R2 (1907) (s),"Greenville, North Carolina",Pirates,American Athletic Conf.,,,East Carolina University  Pirates,East Carolina University 
East Central University G (1909) (s),"Ada, Oklahoma",Tigers,Great American Conf.,,,East Central University Tigers,East Central University
East Georgia State College B (1973) (s),"Swainsboro, Georgia",Bobcats,,,,East Georgia State College Bobcats,East Georgia State College
East Stroudsburg University G (1893) (s),"East Stroudsburg, Pennsylvania",Warriors,Pennsylvania State Athl. Conf.,,,East Stroudsburg University Warriors,East Stroudsburg University
East Tennessee State University R3 (1911) (s),"Johnson City, Tennessee",Buccaneers & Lady Bucs,Southern Conference,,,East Tennessee State University  Buccaneers & Lady Bucs,East Tennessee State University 
Eastern Connecticut State University G (1889) (s),"Willimantic, Connecticut",Warriors,Little East Conference,,,Eastern Connecticut State University Warriors,Eastern Connecticut State University
Eastern Florida State College B (1960) (s),"Brevard County, Florida",Titans,Southern Conference (NJCAA),,,Eastern Florida State College Titans,Eastern Florida State College
Eastern Illinois University G (1895) (s),"Charleston, Illinois",Panthers,Ohio Valley Conference,,,Eastern Illinois University Panthers,Eastern Illinois University
Eastern Kentucky University D (1906) (s),"Richmond, Kentucky",Colonels & Lady Colonels,Ohio Valley Conference,,,Eastern Kentucky University Colonels & Lady Colonels,Eastern Kentucky University
Eastern Michigan University R3 (1849) (s),"Ypsilanti, Michigan",Eagles,Mid-American Conference,,,Eastern Michigan University  Eagles,Eastern Michigan University 
Eastern New Mexico University G (1934) (s),"Portales, New Mexico",Greyhounds,Lone Star Conference,,,Eastern New Mexico University Greyhounds,Eastern New Mexico University
Eastern Oregon University G (1929) (s),"LaGrande, Oregon",Mountaineers,Cascade Collegiate Conf.,,,Eastern Oregon University Mountaineers,Eastern Oregon University
Eastern Washington University G (1882) (s),"Cheney, Washington",Eagles,Big Sky Conference,,,Eastern Washington University Eagles,Eastern Washington University
Edinboro University G (1857) (s),"Edinboro, Pennsylvania",Fighting Scots,Pennsylvania State Athl. Conf.,,,Edinboro University Fighting Scots,Edinboro University
Elizabeth City State University G (1891) (s),"Elizabeth City, North Carolina",Vikings,Central Intercoll. Athletic Assn.,,,Elizabeth City State University Vikings,Elizabeth City State University
Emporia State University G (1863) (s),"Emporia, Kansas",Hornets,Mid-America Intercoll. Athletics,,,Emporia State University Hornets,Emporia State University
Fairmont State University G (1865) (s),"Fairmont, West Virginia",Fighting Falcons & Lady Falcons,Mountain East Conference,,,Fairmont State University Fighting Falcons & Lady Falcons,Fairmont State University
Farmingdale State College B (1912) (s),"Farmingdale, New York",Rams,Skyline Conference,,,Farmingdale State College Rams,Farmingdale State College
Fayetteville State University D (1867) (s),"Fayetteville, North Carolina",Broncos,Central Intercoll. Athletic Assn.,,,Fayetteville State University Broncos,Fayetteville State University
Ferris State University D (1884) (s),"Big Rapids, Michigan",Bulldogs,Great Lakes Intercoll. Athl. Conf.,,,Ferris State University Bulldogs,Ferris State University
Fitchburg State University G (1894) (s),"Fitchburg, Massachusetts",Falcons,Mass. State College Ath. Conf.,,,Fitchburg State University Falcons,Fitchburg State University
Florida A&M University R2 (1887) (s),"Tallahassee, Florida",Rattlers & Lady Rattlers,Mid-Eastern Athletic Conf.,,,Florida A&M University  Rattlers & Lady Rattlers,Florida A&M University 
Florida Atlantic University R2 (1961) (s),"Boca Raton, Florida",Owls,Conference USA,,,Florida Atlantic University  Owls,Florida Atlantic University 
Florida Gulf Coast University D (1991) (s),"Fort Myers, Florida",Eagles,Atlantic Sun Conference,,,Florida Gulf Coast University Eagles,Florida Gulf Coast University
Florida International University R1 (1965) (s),"University Park, Florida",Panthers,Conference USA,,,Florida International University  Panthers,Florida International University 
Florida SouthWestern State College B (1962) (s),"Fort Myers, Florida",Buccaneers,Suncoast Conference,,,Florida SouthWestern State College Buccaneers,Florida SouthWestern State College
Florida State College at Jacksonville B (1966) (s),"Jacksonville, Florida",BlueWave,Mid-Florida Conference,,,Florida State College at Jacksonville BlueWave,Florida State College at Jacksonville
Florida State University R1 (1851) (s),"Tallahassee, Florida",Seminoles,Atlantic Coast Conference,,,Florida State University  Seminoles,Florida State University 
Fort Hays State University G (1902) (s),"Hays, Kansas",Tigers,Mid-America Intercoll. Athletics,,,Fort Hays State University Tigers,Fort Hays State University
Fort Lewis College B (1911) (s),"Durango, Colorado",Skyhawks,Rocky Mountain Athletic Conf.,,,Fort Lewis College Skyhawks,Fort Lewis College
Fort Valley State University B (1895) (s),"Fort Valley, Georgia",Wildcats,Southern Intercoll. Athl. Conf.,,,Fort Valley State University Wildcats,Fort Valley State University
Framingham State University G (1839) (s),"Framingham, Massachusetts",Rams,Mass. State College Ath. Conf.,,,Framingham State University Rams,Framingham State University
Francis Marion University G (1970) (s),"Florence, South Carolina",Patriots,Peach Belt Conference,,,Francis Marion University Patriots,Francis Marion University
Frostburg State University D (1898) (s),"Frostburg, Maryland",Bobcats,Capital Athletic Conference,,,Frostburg State University Bobcats,Frostburg State University
George Mason University R1 (1957) (s),"Fairfax, Virginia",Patriots,Atlantic 10 Conference,,,George Mason University  Patriots,George Mason University 
Georgia College and State University G (1889) (s),"Milledgeville, Georgia",Bobcats,Peach Belt Conference,,,Georgia College and State University Bobcats,Georgia College and State University
Georgia Gwinnett College B (2005) (s),"Lawrenceville, Georgia",Grizzlies,Independent (NAIA),,,Georgia Gwinnett College Grizzlies,Georgia Gwinnett College
Georgia Highlands College B (1970) (s),"Rome, Georgia",Chargers,,,,Georgia Highlands College Chargers,Georgia Highlands College
Georgia Institute of Technology R1 (1885) (s),"Atlanta, Georgia",Yellow Jackets,Atlantic Coast Conference,,,Georgia Institute of Technology  Yellow Jackets,Georgia Institute of Technology 
Georgia Southern University R3 (1906) (s),"Statesboro, Georgia",Eagles,Sun Belt Conference,,,Georgia Southern University  Eagles,Georgia Southern University 
Georgia Southwestern State University G (1906) (s),"Americus, Georgia",Hurricanes,Peach Belt Conference,,,Georgia Southwestern State University Hurricanes,Georgia Southwestern State University
Georgia State University R1 (1913) (s),"Atlanta, Georgia",Panthers,Sun Belt Conference,,,Georgia State University  Panthers,Georgia State University 
Glenville State College B (1872) (s),"Glenville, West Virginia",Pioneers & Lady Pioneers,Mountain East Conference,,,Glenville State College Pioneers & Lady Pioneers,Glenville State College
Gordon State College B (1852) (s),"Barnesville, Georgia",Highlanders,Independent (NJCAA),,,Gordon State College Highlanders,Gordon State College
Governors State University D (1969) (s),"University Park, Illinois",Jaguars,Chicagoland Collegiate Athl.,,,Governors State University Jaguars,Governors State University
Grambling State University D (1901) (s),"Grambling, Louisiana",Tigers & Lady Tigers,Southwestern Athletic Conf.,,,Grambling State University Tigers & Lady Tigers,Grambling State University
Grand Valley State University D (1960) (s),"Allendale, Michigan",Lakers,Great Lakes Intercoll. Athl. Conf.,,,Grand Valley State University Lakers,Grand Valley State University
Gulf Coast State College B (1957) (s),"Panama City, Florida",Commodores,Panhandle Conference,,,Gulf Coast State College Commodores,Gulf Coast State College
Harris-Stowe State University B (1857) (s),"St. Louis, Missouri",Hornets,American Midwest Conf.,,,Harris-Stowe State University Hornets,Harris-Stowe State University
Henderson State University G (1890) (s),"Arkadelphia, Arkansas",Reddies,Great American Conf.,,,Henderson State University Reddies,Henderson State University
Humboldt State University G (1913) (s),"Arcata, California",Lumberjacks,Calif. Collegiate Athletic Assn.,,,Humboldt State University Lumberjacks,Humboldt State University
Hunter College G (1870) (s),"New York, New York",Hawks,City Univ. of New York Athletic Conf.,,,Hunter College Hawks,Hunter College
Idaho State University R1 (1901) (s),"Pocatello, Idaho",Bengals,Big Sky Conference,,,Idaho State University  Bengals,Idaho State University 
Illinois State University R2 (1857) (s),"Normal, Illinois",Redbirds,Missouri Valley Conference,,,Illinois State University  Redbirds,Illinois State University 
Indian River State College B (1959) (s),"Fort Pierce, Florida",Pioneers,Southern Conference (NJCAA),,,Indian River State College Pioneers,Indian River State College
Indiana State University D (1865) (s),"Terre Haute, Indiana",Sycamores,Missouri Valley Conference,,,Indiana State University Sycamores,Indiana State University
Indiana Univ.-Purdue U. Fort Wayne  G (1964) (s),"Fort Wayne, Indiana",Mastodons,The Summit League,,,Indiana Univ.-Purdue U. Fort Wayne  Mastodons,Indiana Univ.-Purdue U. Fort Wayne 
Indiana Univ.-Purdue U. Indianapolis R2 (1969) (s),"Indianapolis, Indiana",Jaguars,Horizon League,,,Indiana Univ.-Purdue U. Indianapolis  Jaguars,Indiana Univ.-Purdue U. Indianapolis 
Indiana University Bloomington R1 (1820) (s),"Bloomington, Indiana",Hoosiers,Big Ten Conference,,,Indiana University Bloomington  Hoosiers,Indiana University Bloomington 
Indiana University East G (1971) (s),"Richmond, Indiana",Red Wolves,River States Conference,,,Indiana University East Red Wolves,Indiana University East
Indiana University Kokomo G (1945) (s),"Kokomo, Indiana",Cougars,River States Conference,,,Indiana University Kokomo Cougars,Indiana University Kokomo
Indiana University Northwest G (1963) (s),"Gary, Indiana",Redhawks,Independent (NAIA),,,Indiana University Northwest Redhawks,Indiana University Northwest
Indiana University of Pennsylvania R3 (1875) (s),"Indiana, Pennsylvania",Crimson Hawks,Pennsylvania State Athl. Conf.,,,Indiana University of Pennsylvania  Crimson Hawks,Indiana University of Pennsylvania 
Indiana University South Bend G (1916) (s),"South Bend, Indiana",Titans,Chicagoland Collegiate Athl.,,,Indiana University South Bend Titans,Indiana University South Bend
Indiana University Southeast G (1941) (s),"New Albany, Indiana",Grenadiers,River States Conference,,,Indiana University Southeast Grenadiers,Indiana University Southeast
Iowa State University R1 (1858) (s),"Ames, Iowa",Cyclones,Big 12 Conference,,,Iowa State University  Cyclones,Iowa State University 
Jackson State University R2 (1877) (s),"Jackson, Mississippi",Tigers & Lady Tigers,Southwestern Athletic Conf.,,,Jackson State University  Tigers & Lady Tigers,Jackson State University 
Jacksonville State University D (1883) (s),"Jacksonville, Alabama",Gamecocks,Ohio Valley Conference,,,Jacksonville State University Gamecocks,Jacksonville State University
Jacksonville University D (1934) (s),"Jacksonville, Florida",Dolphins,"Pioneer Football League
 & Atlantic Sun Conference",,,Jacksonville University Dolphins,Jacksonville University
James Madison University D (1908) (s),"Harrisonburg, Virginia",Dukes,Colonial Athletic Association,,,James Madison University Dukes,James Madison University
John Jay College of Criminal Justice D (1964) (s),"New York, New York",Bloodhounds,City Univ. of New York Athletic Conf.,,,John Jay College of Criminal Justice Bloodhounds,John Jay College of Criminal Justice
Johnson State College G (1828) (s),"Johnson, Vermont",Badgers,North Atlantic Conference,,,Johnson State College Badgers,Johnson State College
Kansas State University R1 (1863) (s),"Manhattan, Kansas",Wildcats,Big 12 Conference,,,Kansas State University  Wildcats,Kansas State University 
Kean University D (1855) (s),"Union, New Jersey",Cougars,New Jersey Athletic Conf.,,,Kean University Cougars,Kean University
Keene State College B (1909) (s),"Keene, New Hampshire",Owls,Little East Conference,,,Keene State College Owls,Keene State College
Kennesaw State University R3 (1963) (s),"Kennesaw, Georgia",Owls & Lady Owls,Atlantic Sun Conference,,,Kennesaw State University  Owls & Lady Owls,Kennesaw State University 
Kent State University R2 (1910) (s),"Kent, Ohio",Golden Flashes,Mid-American Conference,,,Kent State University  Golden Flashes,Kent State University 
Kentucky State University G (1886) (s),"Frankfort, Kentucky",Thorobreds & Thorobrettes,Southern Intercoll. Athl. Conf.,,,Kentucky State University Thorobreds & Thorobrettes,Kentucky State University
Kutztown University D (1866) (s),"Kutztown, Pennsylvania",Golden Bears,Pennsylvania State Athl. Conf.,,,Kutztown University Golden Bears,Kutztown University
Lake Superior State University G (1946) (s),"Sault Sainte Marie, Michigan",Lakers,Great Lakes Intercoll. Athl. Conf.,,,Lake Superior State University Lakers,Lake Superior State University
Lake-Sumter State College B (1962) (s),"Leesburg, Florida",Lakehawks,Mid-Florida Conference,,,Lake-Sumter State College Lakehawks,Lake-Sumter State College
Lamar University R3 (1923) (s),"Beaumont, Texas",Cardinals & Lady Cardinals,Southland Conference,,,Lamar University  Cardinals & Lady Cardinals,Lamar University 
Lander University B (1872) (s),"Greenwood, South Carolina",Bearcats,Peach Belt Conference,,,Lander University Bearcats,Lander University
Langston University D (1897) (s),"Langston, Oklahoma",Lions,"Red River Athletic Conf.
 & Central States Football League",,,Langston University Lions,Langston University
Lehman College G (1967) (s),"The Bronx, New York",Lightning,City Univ. of New York Athletic Conf.,,,Lehman College Lightning,Lehman College
Lewis-Clark State College B (1893) (s),"Lewiston, Idaho",Warriors & Lady Warriors,Frontier Conference,,,Lewis-Clark State College Warriors & Lady Warriors,Lewis-Clark State College
"Lincoln University, MO G (1866) (s)","Jefferson City, Missouri",Blue Tigers,Mid-America Intercoll. Athletics,,,"Lincoln University, MO Blue Tigers","Lincoln University, MO"
"Lincoln University, PA G (1854) (s)","Chester County, Pennsylvania",Lions,Central Intercoll. Athletic Assn.,,,"Lincoln University, PA Lions","Lincoln University, PA"
Lock Haven University G (1870) (s),"Lock Haven, Pennsylvania",Bald Eagles,Pennsylvania State Athl. Conf.,,,Lock Haven University Bald Eagles,Lock Haven University
Longwood University G (1839) (s),"Farmville, Virginia",Lancers,Big South Conference,,,Longwood University Lancers,Longwood University
Louisiana State University R1 (1860) (s),"Baton Rouge, Louisiana",Fighting Tigers & Lady Tigers,Southeastern Conference,,,Louisiana State University  Fighting Tigers & Lady Tigers,Louisiana State University 
Louisiana State University at Alexandria G (1961) (s),"Alexandria, Louisiana",Generals,Red River Athletic Conf.,,,Louisiana State University at Alexandria Generals,Louisiana State University at Alexandria
Louisiana State University in Shreveport D (1967) (s),"Shreveport, Louisiana",Pilots,Red River Athletic Conf.,,,Louisiana State University in Shreveport Pilots,Louisiana State University in Shreveport
Louisiana Tech University R3 (1894) (s),"Ruston, Louisiana",Bulldogs & Lady Techsters,Conference USA,,,Louisiana Tech University  Bulldogs & Lady Techsters,Louisiana Tech University 
Lyndon State College B (1911) (s),"Lyndonville, Vermont",Hornets,North Atlantic Conference,,,Lyndon State College Hornets,Lyndon State College
Maine Maritime Academy B (1941) (s),"Castine, Maine",Mariners,North Atlantic Conference,,,Maine Maritime Academy Mariners,Maine Maritime Academy
Mansfield University B (1857) (s),"Mansfield, Pennsylvania",Mountaineers,Pennsylvania State Athl. Conf.,,,Mansfield University Mountaineers,Mansfield University
Marshall University D (1837) (s),"Huntington, West Virginia",Thundering Herd,Conference USA,,,Marshall University Thundering Herd,Marshall University
Massachusetts College of Liberal Arts G (1894) (s),"North Adams, Massachusetts",Trailblazers,Mass. State College Ath. Conf.,,,Massachusetts College of Liberal Arts Trailblazers,Massachusetts College of Liberal Arts
Massachusetts Maritime Academy G (1891) (s),"Buzzards Bay, Massachusetts",Buccaneers,Mass. State College Ath. Conf.,,,Massachusetts Maritime Academy Buccaneers,Massachusetts Maritime Academy
Mayville State University B (1889) (s),"Mayville, North Dakota",Comets,North Star Athletic Assoc.,,,Mayville State University Comets,Mayville State University
McNeese State University G (1939) (s),"Lake Charles, Louisiana",Cowboys & Cowgirls,Southland Conference,,,McNeese State University Cowboys & Cowgirls,McNeese State University
Medgar Evers College B (1970) (s),"New York, New York",Cougars,City Univ. of New York Athletic Conf.,,,Medgar Evers College Cougars,Medgar Evers College
