Alfred Lunt, The Actor, The Guardsman
Anthony Quinn, Gino, Wild Is the Wind
David Niven, Major Angus Pollock, Separate Tables
Tony Curtis, John "Joker" Jackson, The Defiant Ones
Paul Newman, Brick Pollitt, Cat on a Hot Tin Roof
Sidney Poitier, Noah Cullen, The Defiant Ones
Spencer Tracy, The Old Man, The Old Man and the Sea
Charlton Heston, Judah Ben-Hur, Ben-Hur
Laurence Harvey, Joe Lampton, Room at the Top
Jack Lemmon, Jerry / Daphne, Some Like It Hot
Paul Muni, Dr. Sam Abelman, The Last Angry Man
James Stewart, Paul Biegler, Anatomy of a Murder
Burt Lancaster, Elmer Gantry, Elmer Gantry
Trevor Howard, Walter Morel, Sons and Lovers
Jack Lemmon, C. C. "Bud" Baxter, The Apartment
Laurence Olivier, Archie Rice, The Entertainer
Spencer Tracy, Henry Drummond, Inherit the Wind
Maximilian Schell, Hans Rolfe, Judgment at Nuremberg
Charles Boyer, Cesar, Fanny
Paul Newman, Eddie Felson, The Hustler
Spencer Tracy, Chief Judge Dan Haywood, Judgment at Nuremberg
Stuart Whitman, Jim Fuller, The Mark
Gregory Peck, Atticus Finch, To Kill a Mockingbird
Burt Lancaster, Robert Franklin Stroud, Birdman of Alcatraz
Jack Lemmon, Joe Clay, Days of Wine and Roses
Marcello Mastroianni, Ferdinando Cefa, Divorce Italian Style
Peter O'Toole, T. E. Lawrence, Lawrence of Arabia
Sidney Poitier, Homer Smith, Lilies of the Field
Albert Finney, Tom Jones, Tom Jones
Richard Harris, Frank Machin, This Sporting Life
Rex Harrison, Julius Caesar, Cleopatra
Paul Newman, Hud Bannon, Hud
Rex Harrison, Professor Henry Higgins, My Fair Lady
Richard Burton, Thomas Becket, Becket
Peter O'Toole, King Henry II of England, Becket
Anthony Quinn, Alexis Zorba, Zorba the Greek
Peter Sellers, Group Captain Lionel MandrakePresident Merkin MuffleyDr. Strangelove, Dr. Strangelove
Lee Marvin, Kid ShelleenTim Strawn, Cat Ballou
Richard Burton, Alec Leamas, The Spy Who Came in from the Cold
Laurence Olivier, Othello, Othello
Rod Steiger, Sol Nazerman, The Pawnbroker
Oskar Werner, Willie Schumann, Ship of Fools
Paul Scofield, Sir Thomas More, A Man for All Seasons
Alan Arkin, Lt. Rozanov, The Russians Are Coming, the Russians Are Coming
Richard Burton, George, Who's Afraid of Virginia Woolf?
Michael Caine, Alfie Elkins, Alfie
Steve McQueen, Jake Holman, The Sand Pebbles
Rod Steiger, Police Chief Bill Gillespie, In the Heat of the Night
Warren Beatty, Clyde Barrow, Bonnie and Clyde
Dustin Hoffman, Benjamin Braddock, The Graduate
Paul Newman, Lucas "Cool Hand Luke" Jackson, Cool Hand Luke
Spencer Tracy *[38], Matt Drayton, Guess Who's Coming to Dinner
Cliff Robertson, Charly Gordon, Charly
Alan Arkin, John Singer, The Heart Is a Lonely Hunter
Alan Bates, Yakov Bok, The Fixer
Ron Moody, Fagin, Oliver!
Peter O'Toole, King Henry II of England, The Lion in Winter
John Wayne, Reuben "Rooster" Cogburn, True Grit
Richard Burton, King Henry VIII of England, Anne of the Thousand Days
Dustin Hoffman, Enrico Salvatore "Ratso" "Rico" Rizzo, Midnight Cowboy
Peter O'Toole, Arthur Chipping, Goodbye, Mr. Chips
Jon Voight, Joe Buck, Midnight Cowboy
George C. Scott, General George S. Patton Jr., Patton
Melvyn Douglas, Tom Garrison, I Never Sang for My Father
James Earl Jones, Jack Jefferson, The Great White Hope
Jack Nicholson, Robert Eroica Dupea, Five Easy Pieces
Ryan O'Neal, Oliver Barrett IV, Love Story
Gene Hackman, Detective Jimmy "Popeye" Doyle, The French Connection
Peter Finch, Dr. Daniel Hirsh, Sunday Bloody Sunday
Walter Matthau, Joseph P. Kotcher, Kotch
George C. Scott, Dr. Herbert Bock, The Hospital
Topol, Tevye, Fiddler on the Roof
Marlon Brando, Vito Corleone, The Godfather
Michael Caine, Milo Tindle, Sleuth
Laurence Olivier, Andrew Wyke, Sleuth
Peter O'Toole, Jack Gurney, 14th Earl of Gurney, The Ruling Class
Paul Winfield, Nathan Lee Morgan, Sounder
Jack Lemmon, Harry Stoner, Save the Tiger
Marlon Brando, Paul, Last Tango in Paris
Jack Nicholson, Signalman First Class Billy L. "Badass" Buddusky, The Last Detail
Al Pacino, Frank Serpico, Serpico
Robert Redford, Johnny "Kelly" Hooker, The Sting
Art Carney, Harry Coombes, Harry and Tonto
Albert Finney, Hercule Poirot, Murder on the Orient Express
Dustin Hoffman, Lenny Bruce, Lenny
Jack Nicholson, J. J. "Jake" Gittes, Chinatown
Al Pacino, Michael Corleone, The Godfather Part II
Jack Nicholson, Randle Patrick "Mac" McMurphy, One Flew Over the Cuckoo's Nest
Walter Matthau, Willy Clark, The Sunshine Boys
Al Pacino, Sonny Wortzik, Dog Day Afternoon
Maximilian Schell, Arthur Goldman, The Man in the Glass Booth
James Whitmore, Harry S. Truman, Give 'em Hell, Harry!
Peter Finch ^[38], Howard Beale, Network
Robert De Niro, Travis Bickle, Taxi Driver
Giancarlo Giannini, Pasqualino Frafuso, Seven Beauties
William Holden, Max Schumacher, Network
Sylvester Stallone, Rocky Balboa, Rocky
Richard Dreyfuss, Elliot Garfield, The Goodbye Girl
Woody Allen, Alvy Singer, Annie Hall
Richard Burton, Martin Dysart, Equus
Marcello Mastroianni, Gabriele, A Special Day
John Travolta, Anthony "Tony" Manero, Saturday Night Fever
Jon Voight, Luke Martin, Coming Home
Warren Beatty, Joe Pendleton, Heaven Can Wait
Gary Busey, Buddy Holly, The Buddy Holly Story
Robert De Niro, Michael Vronsky, The Deer Hunter
Laurence Olivier, Ezra Lieberman, The Boys from Brazil
Dustin Hoffman, Ted Kramer, Kramer vs. Kramer
Jack Lemmon, Jack Godell, The China Syndrome
Al Pacino, Arthur Kirkland, ...And Justice for All
Roy Scheider, Joe Gideon, All That Jazz
Peter Sellers, Chance the Gardener, aka Chauncey Gardiner, Being There
Robert De Niro, Jake LaMotta, Raging Bull
Robert Duvall, Lieutenant Colonel Wilbur "Bull" Meechum, The Great Santini
John Hurt, John Merrick, The Elephant Man
Jack Lemmon, Scottie Templeton, Tribute
Peter O'Toole, Eli Cross, The Stunt Man
Henry Fonda, Norman Thayer Jr., On Golden Pond
Warren Beatty, John Silas "Jack" Reed, Reds
Burt Lancaster, Lou Pascal, Atlantic City
Dudley Moore, Arthur Bach, Arthur
Paul Newman, Michael Colin Gallagher, Absence of Malice
Ben Kingsley, Mohandas Karamchand Gandhi, Gandhi
Dustin Hoffman, Michael Dorsey, aka Dorothy Michaels, Tootsie
Jack Lemmon, Ed Horman, Missing
Paul Newman, Frank Galvin, The Verdict
Peter O'Toole, Alan Swann, My Favorite Year
Robert Duvall, Mac Sledge, Tender Mercies
Michael Caine, Dr. Frank Bryant, Educating Rita
Tom Conti, Gowan McGland, Reuben, Reuben
Tom Courtenay, Norman, The Dresser
Albert Finney, Sir, The Dresser
F. Murray Abraham, Antonio Salieri, Amadeus
Jeff Bridges, Starman, Starman
Albert Finney, Geoffrey Firmin, Under the Volcano
Tom Hulce, Wolfgang Amadeus Mozart, Amadeus
Sam Waterston, Sydney Schanberg, The Killing Fields
William Hurt, Luis Molina, Kiss of the Spider Woman
Harrison Ford, Detective Captain John Book, Witness
James Garner, Murphy Jones, Murphy's Romance
Jack Nicholson, Charley Partanna, Prizzi's Honor
Jon Voight, Oscar "Manny" Manheim, Runaway Train
Paul Newman, Fast Eddie Felson, The Color of Money
Dexter Gordon, Dale Turner, Round Midnight
Bob Hoskins, George, Mona Lisa
William Hurt, James Leeds, Children of a Lesser God
James Woods, Richard Boyle, Salvador
Michael Douglas, Gordon Gekko, Wall Street
William Hurt, Tom Grunick, Broadcast News
Marcello Mastroianni, Romano, Dark Eyes
Jack Nicholson, Francis Phelan, Ironweed
Robin Williams, Adrian Cronauer, Good Morning, Vietnam
Dustin Hoffman, Raymond Babbitt, Rain Man
Gene Hackman, Agent Rupert Anderson, Mississippi Burning
Tom Hanks, Josh Baskin, Big
Edward James Olmos, Jaime Escalante, Stand and Deliver
Max von Sydow, Lassefar, Pelle the Conqueror
Daniel Day-Lewis, Christy Brown, My Left Foot
Kenneth Branagh, King Henry V of England, Henry V
Tom Cruise, Ron Kovic, Born on the Fourth of July
Morgan Freeman, Hoke Colburn, Driving Miss Daisy
Robin Williams, John Charles "Keats" Keating, Dead Poets Society
Jeremy Irons, Claus von Barlow, Reversal of Fortune
Kevin Costner, Lieutenant John J. Dunbar, Dances with Wolves
Robert De Niro, Leonard Lowe, Awakenings
Gérard Depardieu, Cyrano de Bergerac, Cyrano de Bergerac
Richard Harris, "Bull" McCabe, The Field
Anthony Hopkins, Dr. Hannibal Lecter, The Silence of the Lambs
Warren Beatty, Benjamin "Bugsy" Siegel, Bugsy
Robert De Niro, Maximilian "Max" Cady, Cape Fear
Nick Nolte, Tom Wingo, The Prince of Tides
Robin Williams, Henry "Parry" Sagan, The Fisher King
Al Pacino, Lieutenant Colonel Frank Slade, Scent of a Woman
Robert Downey Jr., Charlie Chaplin, Chaplin
Clint Eastwood, William "Will" Munny, Unforgiven
Stephen Rea, Fergus, The Crying Game
Denzel Washington, Malcolm X, Malcolm X
Tom Hanks, Andrew Beckett, Philadelphia
Daniel Day-Lewis, Gerry Conlon, In the Name of the Father
Laurence Fishburne, Ike Turner, What's Love Got to Do with It
Anthony Hopkins, James Stevens, The Remains of the Day
Liam Neeson, Oskar Schindler, Schindler's List
Tom Hanks, Forrest Gump, Forrest Gump
Morgan Freeman, Ellis Boyd "Red" Redding, The Shawshank Redemption
Nigel Hawthorne, King George III, The Madness of King George
Paul Newman, Donald "Sully" Sullivan, Nobody's Fool
John Travolta, Vincent Vega, Pulp Fiction
Nicolas Cage, Ben Sanderson, Leaving Las Vegas
Richard Dreyfuss, Glenn Holland, Mr. Holland's Opus
Anthony Hopkins, Richard Nixon, Nixon
Sean Penn, Matthew Poncelet, Dead Man Walking
Massimo Troisi *[38], Mario Ruoppolo, Il Postino: The Postman
Geoffrey Rush, David Helfgott, Shine
Tom Cruise, Jerry Maguire, Jerry Maguire
Ralph Fiennes, Count Laszlo de Almasy, The English Patient
Woody Harrelson, Larry Flynt, The People vs. Larry Flynt
Billy Bob Thornton, Karl Childers, Sling Blade
Jack Nicholson, Melvin Udall, As Good as It Gets
Matt Damon, Will Hunting, Good Will Hunting
Robert Duvall, Euliss "Sonny" Dewey, The Apostle
Peter Fonda, Ulysses "Ulee" Jackson, Ulee's Gold
Dustin Hoffman, Stanley Motss, Wag the Dog
Roberto Benigni, Guido Orefice, Life Is Beautiful
Tom Hanks, Captain John Miller, Saving Private Ryan
Ian McKellen, James Whale, Gods and Monsters
Nick Nolte, Wade Whitehouse, Affliction
Edward Norton, Derek Vinyard, American History X
Kevin Spacey, Lester Burnham, American Beauty
Russell Crowe, Jeffrey Wigand, The Insider
Richard Farnsworth, Alvin Straight, The Straight Story
Sean Penn, Emmet Ray, Sweet and Lowdown
Denzel Washington, Rubin "The Hurricane" Carter, The Hurricane
Russell Crowe, Maximus Decimus Meridius, Gladiator
Javier Bardem, Reinaldo Arenas, Before Night Falls
Tom Hanks, Chuck Noland, Cast Away
Ed Harris, Jackson Pollock, Pollock
Geoffrey Rush, The Marquis de Sade, Quills
Denzel Washington, Detective Alonzo Harris, Training Day
Russell Crowe, John Forbes Nash Jr., A Beautiful Mind
Sean Penn, Sam Dawson, I Am Sam
Will Smith, Muhammad Ali, Ali
Tom Wilkinson, Dr. Matt Fowler, In the Bedroom
Adrien Brody, Władysław Szpilman, The Pianist
Nicolas Cage, Charlie & Donald Kaufman, Adaptation
Michael Caine, Thomas Fowler, The Quiet American
Daniel Day-Lewis, William "Bill the Butcher" Cutting, Gangs of New York
Jack Nicholson, Warren R. Schmidt, About Schmidt
Sean Penn, Jimmy Markum, Mystic River
Johnny Depp, Captain Jack Sparrow, Pirates of the Caribbean: The Curse of the Black Pearl
Ben Kingsley, Massoud Amir Behrani, House of Sand and Fog
Jude Law, W. P. Inman, Cold Mountain
Bill Murray, Bob Harris, Lost in Translation
Jamie Foxx, Ray Charles, Ray
Don Cheadle, Paul Rusesabagina, Hotel Rwanda
Johnny Depp, J. M. Barrie, Finding Neverland
Leonardo DiCaprio, Howard Hughes, The Aviator
Clint Eastwood, Frankie Dunn, Million Dollar Baby
Philip Seymour Hoffman, Truman Capote, Capote
Terrence Howard, Djay, Hustle & Flow
Heath Ledger, Ennis Del Mar, Brokeback Mountain
Joaquin Phoenix, Johnny Cash, Walk the Line
David Strathairn, Edward R. Murrow, Good Night, and Good Luck
Forest Whitaker, Idi Amin, The Last King of Scotland
Leonardo DiCaprio, Danny Archer, Blood Diamond
Ryan Gosling, Dan Dunne, Half Nelson
Peter O'Toole, Maurice Russell, Venus
Will Smith, Chris Gardner, The Pursuit of Happyness
Daniel Day-Lewis, Daniel Plainview, There Will Be Blood
George Clooney, Michael Clayton, Michael Clayton
Johnny Depp, Sweeney Todd / Benjamin Barker, Sweeney Todd
Tommy Lee Jones, Hank Deerfield, In the Valley of Elah
Viggo Mortensen, Nikolai Luzhin, Eastern Promises
Sean Penn, Harvey Milk, Milk
Richard Jenkins, Walter Vale, The Visitor
Frank Langella, Richard Nixon, Frost/Nixon
Brad Pitt, Benjamin Button, The Curious Case of Benjamin Button
Mickey Rourke, Randy "The Ram" Robinson, The Wrestler
Jeff Bridges, Otis "Bad" Blake, Crazy Heart
George Clooney, Ryan Bingham, Up in the Air
Colin Firth, George Falconer, A Single Man
Morgan Freeman, Nelson Mandela, Invictus
Jeremy Renner, SFC William James, The Hurt Locker
Colin Firth, King George VI, The King's Speech
Javier Bardem, Uxbal, Biutiful
Jeff Bridges, Reuben "Rooster" Cogburn, True Grit
Jesse Eisenberg, Mark Zuckerberg, The Social Network
James Franco, Aron Ralston, 127 Hours
Jean Dujardin, George Valentin, The Artist
Demián Bichir, Carlos Galindo, A Better Life
George Clooney, Matthew King, The Descendants
Gary Oldman, George Smiley, Tinker Tailor Soldier Spy
Brad Pitt, Billy Beane, Moneyball
Daniel Day-Lewis, Abraham Lincoln, Lincoln
Bradley Cooper, Patrizio "Pat" Solitano, Jr., Silver Linings Playbook
Hugh Jackman, Jean Valjean, Les Miserables
Joaquin Phoenix, Freddie Quell, The Master
Denzel Washington, William "Whip" Whitaker, Sr., Flight
Matthew McConaughey, Ron Woodroof, Dallas Buyers Club
Christian Bale, Irving Rosenfeld, American Hustle
Bruce Dern, Woodrow "Woody" Grant, Nebraska
Leonardo DiCaprio, Jordan Belfort, The Wolf of Wall Street
Chiwetel Ejiofor, Solomon Northup, 12 Years a Slave
Eddie Redmayne, Stephen Hawking, The Theory of Everything
Steve Carell, John du Pont, Foxcatcher
Bradley Cooper, Chris Kyle, American Sniper
Benedict Cumberbatch, Alan Turing, The Imitation Game
Michael Keaton, Riggan Thomson, Birdman
Leonardo DiCaprio, Hugh Glass, The Revenant
Bryan Cranston, Dalton Trumbo, Trumbo
Matt Damon, Mark Watney, The Martian
Michael Fassbender, Steve Jobs, Steve Jobs
Eddie Redmayne, Lili Elbe, The Danish Girl
Casey Affleck, Lee Chandler, Manchester by the Sea
Andrew Garfield, Desmond Doss, Hacksaw Ridge
Ryan Gosling, Sebastian Wilder, La La Land
Viggo Mortensen, Ben Cash, Captain Fantastic
Denzel Washington, Troy Maxson, Fences
Gary Oldman, Winston Churchill, Darkest Hour
Timothe Chalamet, Elio Perlman, Call Me by Your Name
Daniel Day-Lewis, Reynolds Woodcock, Phantom Thread
Daniel Kaluuya, Chris Washington, Get Out
Denzel Washington, Roman J. Israel, Roman J. Israel, Esq.
Louise Dresser, Mrs. Pleznik, A Ship Comes In
Gloria Swanson, Sadie Thompson, Sadie Thompson
Mary Pickford, Norma Besant, Coquette
Ruth Chatterton, Jacqueline Floriot, Madame X
Betty Compson, Carrie, The Barker
Jeanne Eagels, Leslie Crosbie, The Letter
Corinne Griffith, Emma Hamilton, The Divine Lady
Bessie Love, Hank Mahoney, The Broadway Melody
Norma Shearer [A], Jerry Bernard Martin, The Divorcee
Nancy Carroll, Hallie Hobart, The Devil's Holiday
Ruth Chatterton, Sarah Storm, Sarah and Son
Greta Garbo[A], Anna ChristieMadame Rita Cavallini, Anna ChristieRomance
Norma Shearer, Lucia Marlett, Their Own Desire
Gloria Swanson, Marion Donnell, The Trespasser
Marie Dressler, Min Divot, Min and Bill
Marlene Dietrich, Mademoiselle Amy Jolly, Morocco
Irene Dunne, Sabra Cravat, Cimarron
Ann Harding, Linda Seton, Holiday
Norma Shearer, Jan Ashe, A Free Soul
Helen Hayes, Madelon Claudet, The Sin of Madelon Claudet
Marie Dressler, Emma Thatcher Smith, Emma
Lynn Fontanne, The Actress, The Guardsman
Katharine Hepburn, Eva Lovelace, Morning Glory
May Robson, Apple Annie, Lady for a Day
Diana Wynyard, Jane Marryot, Cavalcade
Claudette Colbert, Ellie Andrews, It Happened One Night
Grace Moore, Mary Barrett, One Night of Love
Norma Shearer, Elizabeth Barrett, The Barretts of Wimpole Street
Bette Davis, Joyce Heath, Dangerous
Elisabeth Bergner, Gemma Jones, Escape Me Never
Claudette Colbert, Jane Everest, Private Worlds
Katharine Hepburn, Alice Adams, Alice Adams
Miriam Hopkins, Becky Sharp, Becky Sharp
Merle Oberon, Kitty Vane, The Dark Angel
Luise Rainer, Anna Held, The Great Ziegfeld
Irene Dunne, Theodora Lynn, Theodora Goes Wild
Gladys George, Carrie Snyder, Valiant Is the Word for Carrie
Carole Lombard, Irene Bullock, My Man Godfrey
Norma Shearer, Juliet Capulet, Romeo and Juliet
Luise Rainer, O-Lan, The Good Earth
Irene Dunne, Lucy Warriner, The Awful Truth
Greta Garbo, Marguerite Gautier, Camille
Janet Gaynor, Esther Victoria Blodgett / Vicki Lester, A Star Is Born
Barbara Stanwyck, Stella Martin Dallas, Stella Dallas
Bette Davis, Julie Marsden, Jezebel
Fay Bainter, Hannah Parmalee, White Banners
Wendy Hiller, Eliza Doolittle, Pygmalion
Norma Shearer, Marie Antoinette, Marie Antoinette
Margaret Sullavan, Patricia "Pat" Hollmann, Three Comrades
Vivien Leigh, Scarlett O'Hara, Gone with the Wind
Bette Davis, Judith Traherne, Dark Victory
Irene Dunne, Terry McKay, Love Affair
Greta Garbo, Nina Yakushova "Ninotchka" Ivanoff, Ninotchka
Greer Garson, Katherine Bridges, Goodbye, Mr. Chips
Ginger Rogers, Kitty Foyle, Kitty Foyle
Bette Davis, Leslie Crosbie, The Letter
Joan Fontaine, The Second Mrs. de Winter, Rebecca
Katharine Hepburn, Tracy Lord, The Philadelphia Story
Martha Scott, Emily Webb, Our Town
Joan Fontaine, Lina McLaidlaw Aysgarth, Suspicion
Bette Davis, Regina Giddens, The Little Foxes
Olivia de Havilland, Emmy Brown, Hold Back the Dawn
Greer Garson, Edna Gladney, Blossoms in the Dust
Barbara Stanwyck, Katherine "Sugarpuss" O'Shea, Ball of Fire
Greer Garson, Kay Miniver, Mrs. Miniver
Bette Davis, Charlotte Vale, Now, Voyager
Katharine Hepburn, Tess Harding, Woman of the Year
Rosalind Russell, Ruth Sherwood, My Sister Eileen
Teresa Wright, Eleanor Twitchell Gehrig, The Pride of the Yankees
Jennifer Jones, Bernadette Soubirous, The Song of Bernadette
Jean Arthur, Constance "Connie" Milligan, The More the Merrier
Ingrid Bergman, María, For Whom the Bell Tolls
Joan Fontaine, Tessa Sanger, The Constant Nymph
Greer Garson, Marie Curie, Madame Curie
Ingrid Bergman, Paula Alquist Anton, Gaslight
Claudette Colbert, Anne Hilton, Since You Went Away
Bette Davis, Fanny Trellis, Mr. Skeffington
Greer Garson, Susie "Sparrow" Parkington, Mrs. Parkington
Barbara Stanwyck, Phyllis Dietrichson, Double Indemnity
Joan Crawford, Mildred Pierce Beragon, Mildred Pierce
Ingrid Bergman, Mary Benedict, The Bells of St. Mary's
Greer Garson, Mary Rafferty, The Valley of Decision
Jennifer Jones, Singleton, Love Letters
Gene Tierney, Ellen Berent Harland, Leave Her to Heaven
Olivia de Havilland, Josephine "Jody" Norris, To Each His Own
Celia Johnson, Laura Jesson, Brief Encounter
Jennifer Jones, Pearl Chavez, Duel in the Sun
Rosalind Russell, Elizabeth Kenny, Sister Kenny
Jane Wyman, Orry Baxter, The Yearling
Loretta Young, Katie Holstrom, The Farmer's Daughter
Joan Crawford, Louise Howell, Possessed
Susan Hayward, Angelica Evans Conway, Smash-Up, the Story of a Woman
Dorothy McGuire, Kathy Lacy, Gentleman's Agreement
Rosalind Russell, Lavinia Mannon, Mourning Becomes Electra
Jane Wyman, Belinda McDonald, Johnny Belinda
Ingrid Bergman, Joan of Arc, Joan of Arc
Olivia de Havilland, Virginia Stuart Cunningham, The Snake Pit
Irene Dunne, Martha Hanson, I Remember Mama
Barbara Stanwyck, Leona Stevenson, Sorry, Wrong Number
Olivia de Havilland, Catherine Sloper, The Heiress
Jeanne Crain, Patricia "Pinky" Johnson, Pinky
Susan Hayward, Eloise Winters, My Foolish Heart
Deborah Kerr, Evelyn Boult, Edward, My Son
Loretta Young, Margaret, Come to the Stable
Judy Holliday, Emma "Billie" Dawn, Born Yesterday
Anne Baxter, Eve Harrington, All About Eve
Bette Davis, Margo Channing, All About Eve
Eleanor Parker, Marie Allen, Caged
