Gerald Ward,WNK,,WNK,"Gerald Ward, WNK, C ",,,C ,"Gerald Ward, WNK, C "
James Williams,"NBY,HG",,NBY,"James Williams, NBY, RF",,,RF,"James Williams, NBY, 2B"
Joseph Davis,"MNT,MDL",,MNT,"Joseph Davis, MNT, CF",,,CF,"Joseph Davis, MNT, P "
Ernest Potocar,MDL,,MDL,"Ernest Potocar, MDL, C ",,,C ,"Ernest Potocar, MDL, P "
John Benson,OGB,,OGB,"John Benson, OGB, C ",,,C ,"John Benson, OGB, 2B"
Pat Patterson,CAN,,CAN,"Pat Patterson, CAN, LF",,,LF,"Pat Patterson, CAN, SS"
Johnny Rizzo,CLB,,CLB,"Johnny Rizzo, CLB, RF",,,RF,"Johnny Rizzo, CLB, RF"
Adolph Sperl,"MYF,TER",,MYF,"Adolph Sperl, MYF, SS",,,SS,"Adolph Sperl, MYF, C "
Tommie West,UNS,,UNS,"Tommie West, UNS, P ",,,P ,"Tommie West, UNS, 2B"
Douglas Wheeler,MYD,,MYD,"Douglas Wheeler, MYD, P ",,,P ,"Douglas Wheeler, MYD, 2B"
Paul Badgett,BSS,,BSS,"Paul Badgett, BSS, 2B",,,2B,"Paul Badgett, BSS, LF"
Max Macon,CLB,,CLB,"Max Macon, CLB, P ",,,P ,"Max Macon, CLB, C "
Jesse Newman,"PAL,SAN",,PAL,"Jesse Newman, PAL, LF",,,LF,"Jesse Newman, PAL, RF"
Billy Johnson,BUT,,BUT,"Billy Johnson, BUT, 3B",,,3B,"Billy Johnson, BUT, 2B"
Coaker Triplett,MEM,,MEM,"Coaker Triplett, MEM, RF",,,RF,"Coaker Triplett, MEM, C "
Bill Kats,DAN,,DAN,"Bill Kats, DAN, C ",,,C ,"Bill Kats, DAN, LF"
Stanley Miller,MEN,,MEN,"Stanley Miller, MEN, LF",,,LF,"Stanley Miller, MEN, RF"
Carl Reynolds,MNE,,MNE,"Carl Reynolds, MNE, SS",,,SS,"Carl Reynolds, MNE, RF"
Stan Sperry,OKC,,OKC,"Stan Sperry, OKC, SS",,,SS,"Stan Sperry, OKC, 2B"
Chester Wieczorek,DUL,,DUL,"Chester Wieczorek, DUL, CF",,,CF,"Chester Wieczorek, DUL, C "
Archie Allen,NFK,,NFK,"Archie Allen, NFK, P ",,,P ,"Archie Allen, NFK, LF"
Danny Carnevale,PCO,,PCO,"Danny Carnevale, PCO, 2B",,,2B,"Danny Carnevale, PCO, RF"
Bobby Goff,LFY,,LFY,"Bobby Goff, LFY, 3B",,,3B,"Bobby Goff, LFY, 1B"
Dutch Mele,MSK,,MSK,"Dutch Mele, MSK, CF",,,CF,"Dutch Mele, MSK, P "
George Staller,BEA,,BEA,"George Staller, BEA, 3B",,,3B,"George Staller, BEA, RF"
Charlie Keller,NWK,,NWK,"Charlie Keller, NWK, C ",,,C ,"Charlie Keller, NWK, SS"
Wes Schulmerich,"LEW,POR",,LEW,"Wes Schulmerich, LEW, 3B",,,3B,"Wes Schulmerich, LEW, LF"
Andy Gilbert,"MFL,CAN",,MFL,"Andy Gilbert, MFL, 3B",,,3B,"Andy Gilbert, MFL, 3B"
Roy Mikus,EAS,,EAS,"Roy Mikus, EAS, P ",,,P ,"Roy Mikus, EAS, C "
Lou Novikoff,PCY,,PCY,"Lou Novikoff, PCY, RF",,,RF,"Lou Novikoff, PCY, CF"
Cecil Payne,MYD,,MYD,"Cecil Payne, MYD, RF",,,RF,"Cecil Payne, MYD, SS"
Charlie Small,SYD,,SYD,"Charlie Small, SYD, RF",,,RF,"Charlie Small, SYD, CF"
Henry Bonetti,WEN,,WEN,"Henry Bonetti, WEN, C ",,,C ,"Henry Bonetti, WEN, 3B"
Jack Grantham,PGD,,PGD,"Jack Grantham, PGD, P ",,,P ,"Jack Grantham, PGD, P "
Al Signaigo,DAN,,DAN,"Al Signaigo, DAN, CF",,,CF,"Al Signaigo, DAN, RF"
Tom Corbett,THV,,THV,"Tom Corbett, THV, 2B",,,2B,"Tom Corbett, THV, P "
Norman James,PSC,,PSC,"Norman James, PSC, 2B",,,2B,"Norman James, PSC, 2B"
Benny Borgmann,PMO,,PMO,"Benny Borgmann, PMO, 2B",,,2B,"Benny Borgmann, PMO, C "
Ray Helixon,"DUL,AVL",,DUL,"Ray Helixon, DUL, 1B",,,1B,"Ray Helixon, DUL, C "
Babe Herman,TOL,,TOL,"Babe Herman, TOL, RF",,,RF,"Babe Herman, TOL, CF"
Jesse Landrum,STP,,STP,"Jesse Landrum, STP, CF",,,CF,"Jesse Landrum, STP, RF"
Bill Stumpf,"SPO,OLD,POR",,SPO,"Bill Stumpf, SPO, CF",,,CF,"Bill Stumpf, SPO, SS"
Otis Lawry,BLT,,BLT,"Otis Lawry, BLT, 1B",,,1B,"Otis Lawry, BLT, CF"
Graham,QUI,,QUI,"Graham, QUI, 2B",,,2B,"Graham, QUI, 3B"
Jack Hurley,HGR,,HGR,"Jack Hurley, HGR, P ",,,P ,"Jack Hurley, HGR, P "
Harry Harper,TAC,,TAC,"Harry Harper, TAC, 1B",,,1B,"Harry Harper, TAC, P "
George McCarl,BTE,,BTE,"George McCarl, BTE, C ",,,C ,"George McCarl, BTE, LF"
Nap Lajoie,TTO,,TTO,"Nap Lajoie, TTO, 2B",,,2B,"Nap Lajoie, TTO, 2B"
Norm Glockson,RFD,,RFD,"Norm Glockson, RFD, C ",,,C ,"Norm Glockson, RFD, RF"
Ira Flagstead,TAC,,TAC,"Ira Flagstead, TAC, CF",,,CF,"Ira Flagstead, TAC, SS"
Frank Walker,SGD,,SGD,"Frank Walker, SGD, 1B",,,1B,"Frank Walker, SGD, 3B"
Jake Pitler,CNG,,CNG,"Jake Pitler, CNG, 3B",,,3B,"Jake Pitler, CNG, C "
Ted Kimbro,NLG,,NLG,"Ted Kimbro, NLG, 2B",,,2B,"Ted Kimbro, NLG, P "
Ross Youngs,ROC,,ROC,"Ross Youngs, ROC, LF",,,LF,"Ross Youngs, ROC, RF"
Turner Barber,BLT,,BLT,"Turner Barber, BLT, 2B",,,2B,"Turner Barber, BLT, 2B"
Blainey Hall,NLG,,NLG,"Blainey Hall, NLG, SS",,,SS,"Blainey Hall, NLG, P "
Elmer Leifer,BTE,,BTE,"Elmer Leifer, BTE, SS",,,SS,"Elmer Leifer, BTE, 3B"
Blackburn,CLB,,CLB,"Blackburn, CLB, C ",,,C ,"Blackburn, CLB, 3B"
Ed McBane,CLM,,CLM,"Ed McBane, CLM, 2B",,,2B,"Ed McBane, CLM, P "
Tom Daly,BFL,,BFL,"Tom Daly, BFL, CF",,,CF,"Tom Daly, BFL, C "
Jack Bentley,BLT,,BLT,"Jack Bentley, BLT, 2B",,,2B,"Jack Bentley, BLT, LF"
Pelayo Chacon,CSE,,CSE,"Pelayo Chacon, CSE, SS",,,SS,"Pelayo Chacon, CSE, RF"
Morrie Rath,SLC,,SLC,"Morrie Rath, SLC, RF",,,RF,"Morrie Rath, SLC, P "
Kane,LAW,,LAW,"Kane, LAW, 2B",,,2B,"Kane, LAW, RF"
George Whiteman,"TTO,LOU",,TTO,"George Whiteman, TTO, SS",,,SS,"George Whiteman, TTO, RF"
Stump Edington,GRR,,GRR,"Stump Edington, GRR, P ",,,P ,"Stump Edington, GRR, LF"
Owen Quinn,SYR,,SYR,"Owen Quinn, SYR, LF",,,LF,"Owen Quinn, SYR, RF"
Del Bemis,"RFD,NLO",,RFD,"Del Bemis, RFD, 2B",,,2B,"Del Bemis, RFD, CF"
Rath,MKG,,MKG,"Rath, MKG, 3B",,,3B,"Rath, MKG, 3B"
Doc Wiley,NLG,,NLG,"Doc Wiley, NLG, SS",,,SS,"Doc Wiley, NLG, SS"
Howie Camp,"CHS,NWK",,CHS,"Howie Camp, CHS, C ",,,C ,"Howie Camp, CHS, SS"
Ham Hyatt,CNG,,CNG,"Ham Hyatt, CNG, P ",,,P ,"Ham Hyatt, CNG, 2B"
Harry Smith,FWA,,FWA,"Harry Smith, FWA, C ",,,C ,"Harry Smith, FWA, LF"
Eddie Bogart,"BTE,TAC",,BTE,"Eddie Bogart, BTE, 1B",,,1B,"Eddie Bogart, BTE, 3B"
Crane,MNE,,MNE,"Crane, MNE, RF",,,RF,"Crane, MNE, SS"
Earl Smith,FSM,,FSM,"Earl Smith, FSM, LF",,,LF,"Earl Smith, FSM, RF"
Earl Smith,OMA,,OMA,"Earl Smith, OMA, 3B",,,3B,"Earl Smith, OMA, CF"
Jack Tobin,SLC,,SLC,"Jack Tobin, SLC, LF",,,LF,"Jack Tobin, SLC, 2B"
Bud Weiser,"WKB,LRK",,WKB,"Bud Weiser, WKB, 1B",,,1B,"Bud Weiser, WKB, C "
Jake Munch,ATA,,ATA,"Jake Munch, ATA, P ",,,P ,"Jake Munch, ATA, 1B"
Joe Ward,GET,,GET,"Joe Ward, GET, LF",,,LF,"Joe Ward, GET, P "
Sykes,GET,,GET,"Sykes, GET, 1B",,,1B,"Sykes, GET, RF"
Bernie Duffy,MTL,,MTL,"Bernie Duffy, MTL, 2B",,,2B,"Bernie Duffy, MTL, 1B"
Arthur Hartle,SGD,,SGD,"Arthur Hartle, SGD, 1B",,,1B,"Arthur Hartle, SGD, CF"
Charles Dysert,HGR,,HGR,"Charles Dysert, HGR, LF",,,LF,"Charles Dysert, HGR, CF"
Bing Miller,"CLI,SBN",,CLI,"Bing Miller, CLI, 2B",,,2B,"Bing Miller, CLI, P "
Mike Fitzgerald,SFR,,SFR,"Mike Fitzgerald, SFR, RF",,,RF,"Mike Fitzgerald, SFR, 2B"
Beals Becker,KCY,,KCY,"Beals Becker, KCY, 1B",,,1B,"Beals Becker, KCY, CF"
Albert Bernsen,FTW,,FTW,"Albert Bernsen, FTW, 2B",,,2B,"Albert Bernsen, FTW, 1B"
Dave Altizer,MNE,,MNE,"Dave Altizer, MNE, 3B",,,3B,"Dave Altizer, MNE, 3B"
Sammy Vick,MEM,,MEM,"Sammy Vick, MEM, C ",,,C ,"Sammy Vick, MEM, P "
Anderson,CLM,,CLM,"Anderson, CLM, 3B",,,3B,"Anderson, CLM, CF"
Hank Butcher,DEN,,DEN,"Hank Butcher, DEN, 3B",,,3B,"Hank Butcher, DEN, CF"
W. Collins,CDR,,CDR,"W. Collins, CDR, RF",,,RF,"W. Collins, CDR, C "
Crouch,RCH,,RCH,"Crouch, RCH, CF",,,CF,"Crouch, RCH, CF"
Bud Davis,"WSM,MEM,FTW,WAC",,WSM,"Bud Davis, WSM, C ",,,C ,"Bud Davis, WSM, 3B"
Pete Knisely,NVL,,NVL,"Pete Knisely, NVL, CF",,,CF,"Pete Knisely, NVL, 1B"
Lu Blue,MBG,,MBG,"Lu Blue, MBG, SS",,,SS,"Lu Blue, MBG, 1B"
Ray Demmitt,CLB,,CLB,"Ray Demmitt, CLB, P ",,,P ,"Ray Demmitt, CLB, 2B"
Guy Dunning,"CLM,WAC",,CLM,"Guy Dunning, CLM, SS",,,SS,"Guy Dunning, CLM, P "
Frank O'Rourke,UTI,,UTI,"Frank O'Rourke, UTI, P ",,,P ,"Frank O'Rourke, UTI, P "
Charles Reinhardt,WLO,,WLO,"Charles Reinhardt, WLO, LF",,,LF,"Charles Reinhardt, WLO, P "
Jack Roche,OLD,,OLD,"Jack Roche, OLD, RF",,,RF,"Jack Roche, OLD, CF"
Buddy Ryan,SLC,,SLC,"Buddy Ryan, SLC, 2B",,,2B,"Buddy Ryan, SLC, RF"
Tex Jones,WCH,,WCH,"Tex Jones, WCH, P ",,,P ,"Tex Jones, WCH, P "
Jay Kirke,LOU,,LOU,"Jay Kirke, LOU, 1B",,,1B,"Jay Kirke, LOU, 3B"
Ray Brubaker,MKG,,MKG,"Ray Brubaker, MKG, 3B",,,3B,"Ray Brubaker, MKG, C "
Douglas Harbison,CLM,,CLM,"Douglas Harbison, CLM, 2B",,,2B,"Douglas Harbison, CLM, RF"
Roy Moran,ATA,,ATA,"Roy Moran, ATA, 1B",,,1B,"Roy Moran, ATA, RF"
George Block,BMG,,BMG,"George Block, BMG, 3B",,,3B,"George Block, BMG, 3B"
Jim Viox,KCY,,KCY,"Jim Viox, KCY, 3B",,,3B,"Jim Viox, KCY, SS"
William Daniels,TAC,,TAC,"William Daniels, TAC, 1B",,,1B,"William Daniels, TAC, RF"
Bill Kay,BNG,,BNG,"Bill Kay, BNG, 2B",,,2B,"Bill Kay, BNG, 1B"
Bill Leard,"SLE,OLD",,SLE,"Bill Leard, SLE, 2B",,,2B,"Bill Leard, SLE, SS"
Biff Schaller,SFR,,SFR,"Biff Schaller, SFR, 2B",,,2B,"Biff Schaller, SFR, P "
Leo Callahan,NWK,,NWK,"Leo Callahan, NWK, CF",,,CF,"Leo Callahan, NWK, P "
Charlie Jackson,SPO,,SPO,"Charlie Jackson, SPO, P ",,,P ,"Charlie Jackson, SPO, LF"
Wickey McAvoy,BLT,,BLT,"Wickey McAvoy, BLT, P ",,,P ,"Wickey McAvoy, BLT, 3B"
Ben Shaw,OMA,,OMA,"Ben Shaw, OMA, 3B",,,3B,"Ben Shaw, OMA, CF"
Victor St. Martin,"HNO,PTH",,HNO,"Victor St. Martin, HNO, 3B",,,3B,"Victor St. Martin, HNO, RF"
Ken Williams,POR,,POR,"Ken Williams, POR, 1B",,,1B,"Ken Williams, POR, 1B"
Mariott,FTD,,FTD,"Mariott, FTD, 3B",,,3B,"Mariott, FTD, 3B"
Marty O'Toole,OMA,,OMA,"Marty O'Toole, OMA, C ",,,C ,"Marty O'Toole, OMA, P "
Arnold Sheldon,WLO,,WLO,"Arnold Sheldon, WLO, C ",,,C ,"Arnold Sheldon, WLO, SS"
Clemons,WKB,,WKB,"Clemons, WKB, 1B",,,1B,"Clemons, WKB, 2B"
Bill Hobbs,DAY,,DAY,"Bill Hobbs, DAY, LF",,,LF,"Bill Hobbs, DAY, CF"
Clarence Kraft,WKB,,WKB,"Clarence Kraft, WKB, C ",,,C ,"Clarence Kraft, WKB, 2B"
Irish Meusel,LOS,,LOS,"Irish Meusel, LOS, LF",,,LF,"Irish Meusel, LOS, LF"
Ramiro Ramirez,CSE,,CSE,"Ramiro Ramirez, CSE, 2B",,,2B,"Ramiro Ramirez, CSE, 2B"
Clay Schoonover,ATN,,ATN,"Clay Schoonover, ATN, LF",,,LF,"Clay Schoonover, ATN, 1B"
Charles Babbington,REA,,REA,"Charles Babbington, REA, 3B",,,3B,"Charles Babbington, REA, 3B"
Snipe Conley,DAL,,DAL,"Snipe Conley, DAL, C ",,,C ,"Snipe Conley, DAL, 1B"
Butch Kern,RFD,,RFD,"Butch Kern, RFD, LF",,,LF,"Butch Kern, RFD, 3B"
Toots Shultz,PVE,,PVE,"Toots Shultz, PVE, CF",,,CF,"Toots Shultz, PVE, 3B"
Mack Wheat,BNG,,BNG,"Mack Wheat, BNG, CF",,,CF,"Mack Wheat, BNG, P "
Rip Conway,WCS,,WCS,"Rip Conway, WCS, P ",,,P ,"Rip Conway, WCS, SS"
George Anderson,MLW,,MLW,"George Anderson, MLW, 3B",,,3B,"George Anderson, MLW, 1B"
Tom Connolly,SXC,,SXC,"Tom Connolly, SXC, 1B",,,1B,"Tom Connolly, SXC, C "
Arthur Durgin,SPF,,SPF,"Arthur Durgin, SPF, 2B",,,2B,"Arthur Durgin, SPF, LF"
Dave Hillyard,BTE,,BTE,"Dave Hillyard, BTE, 1B",,,1B,"Dave Hillyard, BTE, 2B"
Roy Keener,CBG,,CBG,"Roy Keener, CBG, P ",,,P ,"Roy Keener, CBG, 2B"
Roberto Fernandez,"LUB,HAV,LAK,SPT",,LUB,"Roberto Fernandez, LUB, P ",,,P ,"Roberto Fernandez, LUB, RF"
Manuel Magallon,BDO,,BDO,"Manuel Magallon, BDO, 1B",,,1B,"Manuel Magallon, BDO, 3B"
Don Stafford,SBY,,SBY,"Don Stafford, SBY, SS",,,SS,"Don Stafford, SBY, 2B"
Marv Williams,CHH,,CHH,"Marv Williams, CHH, CF",,,CF,"Marv Williams, CHH, 3B"
Robert Hertel,MAL,,MAL,"Robert Hertel, MAL, SS",,,SS,"Robert Hertel, MAL, SS"
Butch McCord,PRS,,PRS,"Butch McCord, PRS, LF",,,LF,"Butch McCord, PRS, C "
John Radulovich,PTA,,PTA,"John Radulovich, PTA, 2B",,,2B,"John Radulovich, PTA, 1B"
Bill Lynn,ALX,,ALX,"Bill Lynn, ALX, C ",,,C ,"Bill Lynn, ALX, P "
Charles Buck,SWE,,SWE,"Charles Buck, SWE, CF",,,CF,"Charles Buck, SWE, CF"
Jack Cade,DLD,,DLD,"Jack Cade, DLD, 3B",,,3B,"Jack Cade, DLD, 1B"
Burro Hernandez,JRZ,,JRZ,"Burro Hernandez, JRZ, CF",,,CF,"Burro Hernandez, JRZ, 1B"
Bob Van Eman,"WFL,TOL",,WFL,"Bob Van Eman, WFL, RF",,,RF,"Bob Van Eman, WFL, 3B"
Richard Steinhauer,PHX,,PHX,"Richard Steinhauer, PHX, SS",,,SS,"Richard Steinhauer, PHX, SS"
Buck Frierson,PAR,,PAR,"Buck Frierson, PAR, RF",,,RF,"Buck Frierson, PAR, RF"
Joe Bauman,ART,,ART,"Joe Bauman, ART, LF",,,LF,"Joe Bauman, ART, P "
Thomas Leonard,GOL,,GOL,"Thomas Leonard, GOL, C ",,,C ,"Thomas Leonard, GOL, RF"
Walter Sessi,BVL,,BVL,"Walter Sessi, BVL, P ",,,P ,"Walter Sessi, BVL, RF"
Wesley Gibson,"LGV,DAL",,LGV,"Wesley Gibson, LGV, 2B",,,2B,"Wesley Gibson, LGV, C "
Howard Jennings,BAT,,BAT,"Howard Jennings, BAT, 2B",,,2B,"Howard Jennings, BAT, LF"
Orville Kitts,MRT,,MRT,"Orville Kitts, MRT, 2B",,,2B,"Orville Kitts, MRT, 3B"
Howard Weeks,FLT,,FLT,"Howard Weeks, FLT, 2B",,,2B,"Howard Weeks, FLT, RF"
Art Lilly,ELP,,ELP,"Art Lilly, ELP, 3B",,,3B,"Art Lilly, ELP, P "
Humberto Baez,BIG,,BIG,"Humberto Baez, BIG, RF",,,RF,"Humberto Baez, BIG, RF"
Victor Canales,JRZ,,JRZ,"Victor Canales, JRZ, P ",,,P ,"Victor Canales, JRZ, 2B"
Tex Sanner,TXA,,TXA,"Tex Sanner, TXA, SS",,,SS,"Tex Sanner, TXA, CF"
Pete Hughes,TIJ,,TIJ,"Pete Hughes, TIJ, P ",,,P ,"Pete Hughes, TIJ, 3B"
Gill Daley,CBS,,CBS,"Gill Daley, CBS, SS",,,SS,"Gill Daley, CBS, LF"
John Roseboro,SHB,,SHB,"John Roseboro, SHB, RF",,,RF,"John Roseboro, SHB, SS"
Ray Taylor,CHK,,CHK,"Ray Taylor, CHK, C ",,,C ,"Ray Taylor, CHK, 1B"
John Tayoan,SAA,,SAA,"John Tayoan, SAA, LF",,,LF,"John Tayoan, SAA, C "
Harry Walker,ROC,,ROC,"Harry Walker, ROC, 2B",,,2B,"Harry Walker, ROC, 3B"
William Harrell,OWN,,OWN,"William Harrell, OWN, CF",,,CF,"William Harrell, OWN, RF"
Rance Pless,NVL,,NVL,"Rance Pless, NVL, 3B",,,3B,"Rance Pless, NVL, P "
John Smith,PHX,,PHX,"John Smith, PHX, RF",,,RF,"John Smith, PHX, CF"
James Beavers,HZB,,HZB,"James Beavers, HZB, C ",,,C ,"James Beavers, HZB, RF"
Jim Eldridge,BOR,,BOR,"Jim Eldridge, BOR, 1B",,,1B,"Jim Eldridge, BOR, 3B"
Tony Ponce,PHX,,PHX,"Tony Ponce, PHX, LF",,,LF,"Tony Ponce, PHX, SS"
Donald Stokes,LAM,,LAM,"Donald Stokes, LAM, CF",,,CF,"Donald Stokes, LAM, 1B"
Rudolph Briner,ART,,ART,"Rudolph Briner, ART, 3B",,,3B,"Rudolph Briner, ART, 1B"
Charley Ridgeway,FTZ,,FTZ,"Charley Ridgeway, FTZ, LF",,,LF,"Charley Ridgeway, FTZ, RF"
Bruce Barmes,CHR,,CHR,"Bruce Barmes, CHR, CF",,,CF,"Bruce Barmes, CHR, LF"
William Greer,ROS,,ROS,"William Greer, ROS, 1B",,,1B,"William Greer, ROS, CF"
Al Pinkston,SHY,,SHY,"Al Pinkston, SHY, SS",,,SS,"Al Pinkston, SHY, LF"
Jake Moore,DOT,,DOT,"Jake Moore, DOT, LF",,,LF,"Jake Moore, DOT, RF"
Leonel Aldama,JRZ,,JRZ,"Leonel Aldama, JRZ, 2B",,,2B,"Leonel Aldama, JRZ, C "
Leonard Cross,BSG,,BSG,"Leonard Cross, BSG, 2B",,,2B,"Leonard Cross, BSG, RF"
Andy Gilbert,MSK,,MSK,"Andy Gilbert, MSK, P ",,,P ,"Andy Gilbert, MSK, CF"
Red Treadway,JKB,,JKB,"Red Treadway, JKB, 3B",,,3B,"Red Treadway, JKB, LF"
Jack Dittmer,MLW,,MLW,"Jack Dittmer, MLW, 2B",,,2B,"Jack Dittmer, MLW, SS"
Ev Hall,TEM,,TEM,"Ev Hall, TEM, C ",,,C ,"Ev Hall, TEM, 1B"
